"cohort","id","trueHRD","CNA","ASCN","SNV","SNV+CNA","SNV+ASCN"
"TCGA","TCGA-A7-A0CE-01",NA,0.27,0.296,0.34,0.402,0.358
"TCGA","TCGA-A7-A0CG-01",NA,0.002,0.01,0.004,0,0
"TCGA","TCGA-A7-A0CH-01","0",0.024,0.036,0,0.002,0.012
"TCGA","TCGA-A7-A0CJ-01",NA,0.006,0.136,0.022,0.022,0.134
"TCGA","TCGA-A7-A0D9-01","0",0.002,0,0.006,0.006,0.002
"TCGA","TCGA-A7-A0DA-01",NA,0.628,0.74,0.596,0.618,0.674
"TCGA","TCGA-A7-A0DB-01","0",0,0,0.016,0.002,0
"TCGA","TCGA-A7-A13D-01","0",0.194,0.198,0.212,0.214,0.21
"TCGA","TCGA-A7-A13E-01","0",0.004,0.006,0.082,0.092,0.086
"TCGA","TCGA-A7-A13F-01","0",0.008,0.022,0.004,0.006,0
"TCGA","TCGA-A7-A13G-01","0",0,0,0,0,0
"TCGA","TCGA-A7-A26E-01","0",0,0,0,0,0
"TCGA","TCGA-A7-A26F-01","0",0.11,0.086,0.008,0.004,0.004
"TCGA","TCGA-A7-A26G-01","0",0.25,0.162,0.026,0.13,0.15
"TCGA","TCGA-A7-A26H-01",NA,0,0.004,0,0.002,0.002
"TCGA","TCGA-A7-A26I-01","0",0.018,0.014,0.006,0.002,0.006
"TCGA","TCGA-A7-A26J-01","0",0.004,0,0.016,0.006,0.01
"TCGA","TCGA-A7-A2KD-01","0",0.024,0,0.002,0.002,0
"TCGA","TCGA-A7-A3RF-01","0",0.06,0.04,0.04,0.042,0.036
"TCGA","TCGA-A7-A425-01","0",0.064,0.024,0.04,0.008,0.004
"TCGA","TCGA-A7-A4SD-01","0",0.006,0.034,0.008,0.024,0.03
"TCGA","TCGA-A7-A4SE-01","1",0.696,0.772,0.802,0.794,0.796
"TCGA","TCGA-A7-A56D-01","0",0.038,0.01,0.046,0.022,0.014
"TCGA","TCGA-A7-A5ZV-01","1",0.738,0.714,0.846,0.84,0.772
"TCGA","TCGA-A7-A5ZW-01","0",0,0,0.002,0.004,0
"TCGA","TCGA-A7-A5ZX-01","0",0.002,0,0.004,0,0
"TCGA","TCGA-A7-A6VV-01","0",0.256,0.278,0.054,0.12,0.182
"TCGA","TCGA-A7-A6VW-01","1",0.886,0.83,0.726,0.776,0.788
"TCGA","TCGA-A7-A6VX-01","0",0.188,0.228,0.278,0.254,0.216
"TCGA","TCGA-A7-A6VY-01","1",0.98,0.934,0.792,0.858,0.892
"TCGA","TCGA-A8-A06N-01",NA,0.004,0.002,0,0.008,0.004
"TCGA","TCGA-A8-A06O-01",NA,0.006,0.006,0.024,0.016,0.01
